event,start_s,end_s,duration_s,peak_db,rms_db,attack_time_s,median_f0_hz,pitch_step_count,max_pitch_step_hz,possible_polyphony,auto_verdict,rationale,suggested_annotation,candidate_score
68,34.748662131519275,35.062131519274374,0.313469387755102,-10.92534151454913,-22.198197279841363,0.046439909297052155,78.39876440087627,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.9088553150039408
476,240.55002267573695,240.8126984126984,0.26267573696145124,-13.448082488502973,-23.791317643186023,0.011609977324263039,93.13632349399202,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8786717583202983
487,243.24063492063493,243.54249433106577,0.301859410430839,-15.416881190909583,-24.29206232766913,0.034829931972789115,95.66160520607376,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8662212224105847
56,30.33687074829932,30.63873015873016,0.301859410430839,-14.565458849783282,-26.92988962289082,0.034829931972789115,215.1219512195122,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8483571728696309
534,260.79492063492063,261.10839002267574,0.313469387755102,-13.595187269345848,-25.82651823400994,0.046439909297052155,114.54545454545455,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8458736479142879
517,254.2701133786848,254.6140589569161,0.3439455782312925,-14.858164046375489,-25.455413090868216,0.010158730158730159,134.4512195121951,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8427599202375403
63,32.6356462585034,32.97233560090703,0.33668934240362813,-13.282608446219456,-25.006028322248483,0.046439909297052155,136.53250773993807,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8339843806146403
62,32.182857142857145,32.507936507936506,0.3250793650793651,-14.158298137817294,-26.546334878504926,0.034829931972789115,171.5953307392996,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8330443727846236
506,249.6667573696145,250.0426303854875,0.37587301587301586,-15.531802657750353,-24.657242863630067,0.008707482993197279,96.92307692307692,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8135290459199827
282,148.42195011337867,148.700589569161,0.2786394557823129,-15.598617522890937,-27.680355236153176,0.034829931972789115,222.72727272727272,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8110197962190827
507,250.06730158730159,250.42721088435374,0.3599092970521542,-13.455566023978589,-25.549186640405054,0.046439909297052155,106.90924798420272,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8036032670069572
297,152.70603174603175,153.0311111111111,0.3250793650793651,-12.996260945201785,-30.801362287848363,0.034829931972789115,148.98648648648648,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.8021144706173443
280,147.57442176870748,147.9111111111111,0.33668934240362813,-14.608099532563477,-28.352150594141232,0.034829931972789115,213.04347826086956,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7988782243565357
485,242.3698866213152,242.59047619047618,0.22058956916099773,-15.218974111456019,-28.088331364688372,0.0,105.50239234449761,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7875165143995537
558,269.2818140589569,269.6417233560091,0.3599092970521542,-15.312726993335604,-26.019752059769242,0.046439909297052155,111.64556962025317,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7803260031197452
116,52.00108843537415,52.43065759637188,0.4295691609977324,-10.919748539701622,-24.032781565678935,0.046439909297052155,95.04310344827586,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7744656286514099
518,254.66630385487528,254.90866213151926,0.24235827664399093,-18.021601908228586,-28.27486925189938,0.0072562358276643995,122.1606648199446,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7721373292150469
127,58.52879818594104,58.84662131519274,0.3178231292517007,-20.11957165714339,-30.14246839239413,0.010158730158730159,118.54838709677419,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7693977400941939
536,261.7237188208617,262.0952380952381,0.37151927437641724,-14.805530990698623,-27.28160842861852,0.046439909297052155,122.5,0,0.0,False,Review,candidate ranking only,"Review candidate: duration and level are favorable, but audition remains required.",0.7611694221333593
